Number of arrivals,,,,
Source: MarineTraffic,,,,
,,,,
PORT,COMFLEET_GROUPEDTYPE,YEAR,ARRIVALS,COUNTRY
PIRAEUS,RO/RO,2021,1068,Greece
PIRAEUS,RO/RO,2022,933,Greece
PIRAEUS,RO/RO,2023,452,Greece
PIRAEUS,WET BULK,2016,4492,Greece
PIRAEUS,WET BULK,2017,3742,Greece
PIRAEUS,WET BULK,2018,3118,Greece
PIRAEUS,WET BULK,2019,3262,Greece
PIRAEUS,WET BULK,2020,3213,Greece
PIRAEUS,WET BULK,2021,3211,Greece
PIRAEUS,WET BULK,2022,3625,Greece
PIRAEUS,WET BULK,2023,1847,Greece
LAGOS,WET BULK,2017,515,Nigeria
LAGOS,WET BULK,2019,438,Nigeria
LAGOS,CONTAINER SHIPS,2017,427,Nigeria
LAGOS,CONTAINER SHIPS,2017,408,Nigeria
LAGOS,WET BULK,2018,389,Nigeria
LAGOS,WET BULK,2018,387,Nigeria
LAGOS,WET BULK,2019,386,Nigeria
LAGOS,WET BULK,2017,380,Nigeria
LAGOS,CONTAINER SHIPS,2018,374,Nigeria
LAGOS,WET BULK,2020,374,Nigeria
LAGOS,WET BULK,2020,370,Nigeria
LAGOS,CONTAINER SHIPS,2019,356,Nigeria
LAGOS,CONTAINER SHIPS,2018,354,Nigeria
LAGOS,CONTAINER SHIPS,2019,348,Nigeria
LAGOS,WET BULK,2022,337,Nigeria
LAGOS,CONTAINER SHIPS,2022,307,Nigeria
LAGOS,CONTAINER SHIPS,2020,287,Nigeria
LAGOS,CONTAINER SHIPS,2020,249,Nigeria
LAGOS,WET BULK,2023,243,Nigeria
LAGOS,DRY BULK,2017,224,Nigeria
LAGOS,CONTAINER SHIPS,2023,194,Nigeria
LAGOS,DRY BULK,2022,159,Nigeria
LAGOS,DRY BULK,2020,158,Nigeria
LAGOS,DRY BULK,2017,155,Nigeria
LAGOS,DRY BULK,2019,150,Nigeria
LAGOS,DRY BULK,2020,148,Nigeria
LAGOS,DRY BULK,2018,146,Nigeria
LAGOS,DRY BULK,2018,139,Nigeria
LAGOS,DRY BULK,2019,139,Nigeria
LAGOS,DRY BREAKBULK,2019,119,Nigeria
LAGOS,RO/RO,2019,113,Nigeria
LAGOS,DRY BREAKBULK,2017,112,Nigeria
LAGOS,RO/RO,2019,109,Nigeria
LAGOS,DRY BREAKBULK,2020,106,Nigeria
LAGOS,RO/RO,2020,106,Nigeria
LAGOS,RO/RO,2020,103,Nigeria
LAGOS,RO/RO,2018,102,Nigeria
LAGOS,DRY BULK,2023,95,Nigeria
LAGOS,RO/RO,2018,95,Nigeria
LAGOS,DRY BREAKBULK,2019,92,Nigeria
LAGOS,RO/RO,2017,92,Nigeria
LAGOS,DRY BREAKBULK,2022,91,Nigeria
LAGOS,RO/RO,2017,87,Nigeria
LAGOS,DRY BREAKBULK,2018,83,Nigeria
LAGOS,DRY BREAKBULK,2020,82,Nigeria
LAGOS,RO/RO,2022,82,Nigeria
LAGOS,DRY BREAKBULK,2018,75,Nigeria
LAGOS,DRY BREAKBULK,2017,64,Nigeria
LAGOS,DRY BREAKBULK,2023,57,Nigeria
LAGOS,RO/RO,2023,53,Nigeria
LAGOS,LPG CARRIERS,2020,40,Nigeria
LAGOS,LPG CARRIERS,2019,38,Nigeria
LAGOS,LPG CARRIERS,2022,38,Nigeria
LAGOS,LPG CARRIERS,2019,36,Nigeria
LAGOS,LPG CARRIERS,2020,34,Nigeria
LAGOS,LPG CARRIERS,2018,31,Nigeria
LAGOS,LPG CARRIERS,2017,26,Nigeria
LAGOS,LPG CARRIERS,2018,24,Nigeria
LAGOS,LPG CARRIERS,2023,24,Nigeria
LAGOS,LPG CARRIERS,2017,20,Nigeria
LAGOS,WET BULK,2021,20,Nigeria
LAGOS,CONTAINER SHIPS,2021,11,Nigeria
LAGOS,WET BULK,2019,9,Nigeria
LAGOS,DRY BULK,2021,7,Nigeria
LAGOS,CONTAINER SHIPS,2019,6,Nigeria
LAGOS,RO/RO,2021,6,Nigeria
LAGOS,CONTAINER SHIPS,2018,3,Nigeria
LAGOS,CONTAINER SHIPS,2020,3,Nigeria
LAGOS,DRY BREAKBULK,2021,3,Nigeria
LAGOS,RO/RO,2019,3,Nigeria
LAGOS,RO/RO,2020,3,Nigeria
LAGOS,DRY BULK,2019,2,Nigeria
LAGOS,LPG CARRIERS,2021,2,Nigeria
LAGOS,RO/RO,2018,2,Nigeria
LAGOS,WET BULK,2020,2,Nigeria
LAGOS,DRY BREAKBULK,2018,1,Nigeria
LAGOS,DRY BREAKBULK,2019,1,Nigeria
LAGOS,DRY BULK,2018,1,Nigeria
LAGOS,LNG CARRIERS,2018,1,Nigeria
LAGOS,WET BULK,2018,1,Nigeria
LEKKI,CONTAINER SHIPS,2023,5,Nigeria
LEKKI,DRY BREAKBULK,2022,2,Nigeria
LEKKI,CONTAINER SHIPS,2023,18,Nigeria
LEKKI,DRY BREAKBULK,2021,1,Nigeria
LEKKI,DRY BREAKBULK,2022,4,Nigeria
LEKKI,DRY BULK,2023,3,Nigeria
LEKKI,WET BULK,2021,14,Nigeria
LEKKI,WET BULK,2022,16,Nigeria
GWADAR,DRY BULK,2023,11,Pakistan
GWADAR,CONTAINER SHIPS,2023,5,Pakistan
GWADAR,DRY BULK,2022,3,Pakistan
GWADAR,DRY BREAKBULK,2023,1,Pakistan
GWADAR,CONTAINER SHIPS,2022,1,Pakistan
GWADAR,CONTAINER SHIPS,2016,1,Pakistan
GWADAR,CONTAINER SHIPS,2018,7,Pakistan
GWADAR,CONTAINER SHIPS,2019,20,Pakistan
GWADAR,CONTAINER SHIPS,2020,15,Pakistan
GWADAR,CONTAINER SHIPS,2021,5,Pakistan
GWADAR,DRY BREAKBULK,2016,1,Pakistan
GWADAR,DRY BREAKBULK,2017,6,Pakistan
GWADAR,DRY BREAKBULK,2019,1,Pakistan
GWADAR,DRY BREAKBULK,2020,1,Pakistan
GWADAR,DRY BULK,2016,2,Pakistan
GWADAR,DRY BULK,2017,6,Pakistan
GWADAR,DRY BULK,2018,3,Pakistan
GWADAR,DRY BULK,2020,4,Pakistan
GWADAR,DRY BULK,2021,4,Pakistan
GWADAR,LPG CARRIERS,2020,2,Pakistan
GWADAR,LPG CARRIERS,2021,5,Pakistan
GWADAR,WET BULK,2017,8,Pakistan
KARACHI,CONTAINER SHIPS,2022,439,Pakistan
KARACHI,WET BULK,2022,310,Pakistan
KARACHI,CONTAINER SHIPS,2023,301,Pakistan
KARACHI,WET BULK,2023,190,Pakistan
KARACHI,DRY BULK,2022,126,Pakistan
KARACHI,DRY BULK,2023,88,Pakistan
KARACHI,DRY BREAKBULK,2022,34,Pakistan
KARACHI,DRY BREAKBULK,2023,28,Pakistan
KARACHI,RO/RO,2022,16,Pakistan
KARACHI,RO/RO,2023,8,Pakistan
KARACHI,CONTAINER SHIPS,2016,1358,Pakistan
KARACHI,CONTAINER SHIPS,2017,862,Pakistan
KARACHI,CONTAINER SHIPS,2018,832,Pakistan
KARACHI,CONTAINER SHIPS,2019,705,Pakistan
KARACHI,CONTAINER SHIPS,2020,772,Pakistan
KARACHI,CONTAINER SHIPS,2021,868,Pakistan
KARACHI,CONTAINER SHIPS,2022,861,Pakistan
KARACHI,CONTAINER SHIPS,2023,487,Pakistan
KARACHI,DRY BREAKBULK,2016,353,Pakistan
KARACHI,DRY BREAKBULK,2017,180,Pakistan
KARACHI,DRY BREAKBULK,2018,135,Pakistan
KARACHI,DRY BREAKBULK,2019,135,Pakistan
KARACHI,DRY BREAKBULK,2020,137,Pakistan
KARACHI,DRY BREAKBULK,2021,146,Pakistan
KARACHI,DRY BREAKBULK,2022,184,Pakistan
KARACHI,DRY BREAKBULK,2023,104,Pakistan
KARACHI,DRY BULK,2016,787,Pakistan
KARACHI,DRY BULK,2017,350,Pakistan
KARACHI,DRY BULK,2018,285,Pakistan
KARACHI,DRY BULK,2019,204,Pakistan
KARACHI,DRY BULK,2020,282,Pakistan
KARACHI,DRY BULK,2021,341,Pakistan
KARACHI,DRY BULK,2022,260,Pakistan
KARACHI,DRY BULK,2023,137,Pakistan
KARACHI,LPG CARRIERS,2016,25,Pakistan
KARACHI,LPG CARRIERS,2017,4,Pakistan
KARACHI,LPG CARRIERS,2019,2,Pakistan
KARACHI,LPG CARRIERS,2021,2,Pakistan
KARACHI,RO/RO,2016,110,Pakistan
KARACHI,RO/RO,2017,78,Pakistan
KARACHI,RO/RO,2018,66,Pakistan
KARACHI,RO/RO,2019,37,Pakistan
KARACHI,RO/RO,2020,26,Pakistan
KARACHI,RO/RO,2021,53,Pakistan
KARACHI,RO/RO,2022,44,Pakistan
KARACHI,RO/RO,2023,14,Pakistan
KARACHI,WET BULK,2016,604,Pakistan
KARACHI,WET BULK,2017,569,Pakistan
KARACHI,WET BULK,2018,487,Pakistan
KARACHI,WET BULK,2019,524,Pakistan
KARACHI,WET BULK,2020,520,Pakistan
KARACHI,WET BULK,2021,670,Pakistan
KARACHI,WET BULK,2022,679,Pakistan
KARACHI,WET BULK,2023,311,Pakistan
COLOMBO,CONTAINER SHIPS,2016,3784,Sri Lanka
COLOMBO,CONTAINER SHIPS,2017,3555,Sri Lanka
COLOMBO,CONTAINER SHIPS,2018,3466,Sri Lanka
COLOMBO,CONTAINER SHIPS,2019,3966,Sri Lanka
COLOMBO,CONTAINER SHIPS,2020,3414,Sri Lanka
COLOMBO,CONTAINER SHIPS,2021,3148,Sri Lanka
COLOMBO,CONTAINER SHIPS,2022,3265,Sri Lanka
COLOMBO,CONTAINER SHIPS,2023,2094,Sri Lanka
COLOMBO,DRY BREAKBULK,2016,642,Sri Lanka
COLOMBO,DRY BREAKBULK,2017,1511,Sri Lanka
COLOMBO,DRY BREAKBULK,2018,909,Sri Lanka
COLOMBO,DRY BREAKBULK,2019,1215,Sri Lanka
COLOMBO,DRY BREAKBULK,2020,386,Sri Lanka
COLOMBO,DRY BREAKBULK,2021,270,Sri Lanka
COLOMBO,DRY BREAKBULK,2022,377,Sri Lanka
COLOMBO,DRY BREAKBULK,2023,239,Sri Lanka
COLOMBO,DRY BULK,2016,240,Sri Lanka
COLOMBO,DRY BULK,2017,227,Sri Lanka
COLOMBO,DRY BULK,2018,229,Sri Lanka
COLOMBO,DRY BULK,2019,238,Sri Lanka
COLOMBO,DRY BULK,2020,221,Sri Lanka
COLOMBO,DRY BULK,2021,250,Sri Lanka
COLOMBO,DRY BULK,2022,177,Sri Lanka
COLOMBO,DRY BULK,2023,63,Sri Lanka
COLOMBO,LNG CARRIERS,2016,1,Sri Lanka
COLOMBO,LNG CARRIERS,2022,1,Sri Lanka
COLOMBO,LPG CARRIERS,2016,158,Sri Lanka
COLOMBO,LPG CARRIERS,2017,144,Sri Lanka
COLOMBO,LPG CARRIERS,2018,134,Sri Lanka
COLOMBO,LPG CARRIERS,2019,169,Sri Lanka
COLOMBO,LPG CARRIERS,2020,168,Sri Lanka
COLOMBO,LPG CARRIERS,2021,144,Sri Lanka
COLOMBO,LPG CARRIERS,2022,97,Sri Lanka
COLOMBO,LPG CARRIERS,2023,46,Sri Lanka
COLOMBO,RO/RO,2016,54,Sri Lanka
COLOMBO,RO/RO,2017,71,Sri Lanka
COLOMBO,RO/RO,2018,29,Sri Lanka
COLOMBO,RO/RO,2019,30,Sri Lanka
COLOMBO,RO/RO,2020,10,Sri Lanka
COLOMBO,RO/RO,2021,4,Sri Lanka
COLOMBO,RO/RO,2022,2,Sri Lanka
COLOMBO,WET BULK,2016,835,Sri Lanka
COLOMBO,WET BULK,2017,983,Sri Lanka
COLOMBO,WET BULK,2018,927,Sri Lanka
COLOMBO,WET BULK,2019,1018,Sri Lanka
COLOMBO,WET BULK,2020,800,Sri Lanka
COLOMBO,WET BULK,2021,790,Sri Lanka
COLOMBO,WET BULK,2022,735,Sri Lanka
COLOMBO,WET BULK,2023,408,Sri Lanka
HAMBANTOTA,RO/RO,2022,126,Sri Lanka
HAMBANTOTA,RO/RO,2023,94,Sri Lanka
HAMBANTOTA,WET BULK,2023,15,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2022,9,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2023,9,Sri Lanka
HAMBANTOTA,WET BULK,2022,9,Sri Lanka
HAMBANTOTA,DRY BULK,2022,7,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2022,6,Sri Lanka
HAMBANTOTA,DRY BULK,2023,4,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2022,2,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2023,1,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2017,1,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2018,1,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2020,2,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2021,1,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2022,3,Sri Lanka
HAMBANTOTA,CONTAINER SHIPS,2023,3,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2016,20,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2017,5,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2018,7,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2019,43,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2020,48,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2021,18,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2022,14,Sri Lanka
HAMBANTOTA,DRY BREAKBULK,2023,2,Sri Lanka
HAMBANTOTA,DRY BULK,2017,1,Sri Lanka
HAMBANTOTA,DRY BULK,2018,3,Sri Lanka
HAMBANTOTA,DRY BULK,2019,13,Sri Lanka
HAMBANTOTA,DRY BULK,2020,19,Sri Lanka
HAMBANTOTA,DRY BULK,2021,27,Sri Lanka
HAMBANTOTA,DRY BULK,2022,22,Sri Lanka
HAMBANTOTA,DRY BULK,2023,8,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2019,24,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2020,66,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2021,46,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2022,19,Sri Lanka
HAMBANTOTA,LPG CARRIERS,2023,16,Sri Lanka
HAMBANTOTA,RO/RO,2016,204,Sri Lanka
HAMBANTOTA,RO/RO,2017,200,Sri Lanka
HAMBANTOTA,RO/RO,2018,230,Sri Lanka
HAMBANTOTA,RO/RO,2019,238,Sri Lanka
HAMBANTOTA,RO/RO,2020,212,Sri Lanka
HAMBANTOTA,RO/RO,2021,258,Sri Lanka
HAMBANTOTA,RO/RO,2022,250,Sri Lanka
HAMBANTOTA,RO/RO,2023,144,Sri Lanka
HAMBANTOTA,WET BULK,2016,4,Sri Lanka
HAMBANTOTA,WET BULK,2017,12,Sri Lanka
HAMBANTOTA,WET BULK,2018,12,Sri Lanka
HAMBANTOTA,WET BULK,2019,7,Sri Lanka
HAMBANTOTA,WET BULK,2020,19,Sri Lanka
HAMBANTOTA,WET BULK,2021,76,Sri Lanka
HAMBANTOTA,WET BULK,2022,113,Sri Lanka
HAMBANTOTA,WET BULK,2023,145,Sri Lanka
KHALIFA,CONTAINER SHIPS,2016,1054,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2017,854,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2018,957,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2019,1304,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2020,1435,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2021,1425,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2022,1638,United Arab Emirates
KHALIFA,CONTAINER SHIPS,2023,1069,United Arab Emirates
KHALIFA,DRY BREAKBULK,2016,29,United Arab Emirates
KHALIFA,DRY BREAKBULK,2017,90,United Arab Emirates
KHALIFA,DRY BREAKBULK,2018,78,United Arab Emirates
KHALIFA,DRY BREAKBULK,2019,39,United Arab Emirates
KHALIFA,DRY BREAKBULK,2020,40,United Arab Emirates
KHALIFA,DRY BREAKBULK,2021,55,United Arab Emirates
KHALIFA,DRY BREAKBULK,2022,141,United Arab Emirates
KHALIFA,DRY BREAKBULK,2023,104,United Arab Emirates
KHALIFA,DRY BULK,2016,79,United Arab Emirates
KHALIFA,DRY BULK,2017,73,United Arab Emirates
KHALIFA,DRY BULK,2018,86,United Arab Emirates
KHALIFA,DRY BULK,2019,116,United Arab Emirates
KHALIFA,DRY BULK,2020,112,United Arab Emirates
KHALIFA,DRY BULK,2021,134,United Arab Emirates
KHALIFA,DRY BULK,2022,186,United Arab Emirates
KHALIFA,DRY BULK,2023,129,United Arab Emirates
KHALIFA,LNG CARRIERS,2019,1,United Arab Emirates
KHALIFA,LPG CARRIERS,2016,6,United Arab Emirates
KHALIFA,RO/RO,2016,269,United Arab Emirates
KHALIFA,RO/RO,2017,251,United Arab Emirates
KHALIFA,RO/RO,2018,237,United Arab Emirates
KHALIFA,RO/RO,2019,216,United Arab Emirates
KHALIFA,RO/RO,2020,204,United Arab Emirates
KHALIFA,RO/RO,2021,177,United Arab Emirates
KHALIFA,RO/RO,2022,233,United Arab Emirates
KHALIFA,RO/RO,2023,134,United Arab Emirates
KHALIFA,WET BULK,2016,34,United Arab Emirates
KHALIFA,WET BULK,2017,71,United Arab Emirates
KHALIFA,WET BULK,2018,6,United Arab Emirates
KHALIFA,WET BULK,2019,19,United Arab Emirates
KHALIFA,WET BULK,2020,18,United Arab Emirates
KHALIFA,WET BULK,2021,36,United Arab Emirates
KHALIFA,WET BULK,2022,50,United Arab Emirates
KHALIFA,WET BULK,2023,84,United Arab Emirates
